project,desc,assigned to,reported by,category,priority
SJE Plus,software update ,yogita,reception,Support,V.Urgent
SJE Plus,invoice format issue,drashti,reception,Report,V.Urgent
SJE Plus,hsn code issue,krishna,reception,Support,high
SJE Plus,software close,krishna,reception,Support,V.Urgent
SJE Plus,software close,jaytur,reception,Support,V.Urgent
SJE Plus,software close,yogita,reception,Support,high
SJE Plus,Demo Server Installtion,yogita,reception,Support,V.Urgent
Smart Jewel,software slow,Sajeda,reception,Support,high
SJE Plus,order report issue and jewelry sales handling print issue,yogita,reception,Report,V.Urgent
SJE Plus,log in issue,yogita,reception,Support,V.Urgent
Smart Jewel,jewellry stock as on issue,Sajeda,reception,Support,high
SJE Plus,software close,vipul,reception,Support,V.Urgent
SJE Plus,remove Labor Column from packing with size report and wants gross wt in 3 digit.,Jagruti,reception,Report,high
SJE Plus,jewelry purchase return gst issue,Heta,reception,Report,high
SJE Plus,color stone entry issue,Sajeda,reception,Support,high
SJE Plus,making charge add issue,yogita,reception,Support,high
SJE Plus,branch receive issue,sarika,reception,Support,V.Urgent
SJE Plus,purchase issue,Sajeda,reception,Support,high
SJE Plus,path set issue,krishna,reception,Support,high
SJE Plus,tcs tax add,drashti,reception,Report,high
SJE Plus,branch transfer issue,yogita,reception,Support,high
Smart Jewel,account 0 balance issue,krishna,reception,Support,high
Smart Jewel,cash settlement issue,shubham,reception,Support,V.Urgent
SJE Plus,diamond purchase retune issue,sarika,reception,Support,high
SJE Plus,Bag movement new report create ,drashti,drashti,Report,high
SJE Plus,software error,yogita,reception,Support,V.Urgent
SJE Plus,stock valuation weight issue,Sajeda,reception,Support,high
Smart Jewel,loss issue,ashit,reception,Support,high
SJE Plus,bag transection entry order rate not show and stock - issue,krishna,reception,Support,high
SJE Plus,gold receive issue,sarika,reception,Support,high
SJE Plus,software installation,drashti,drashti,Support,high
Smart Jewel,path set ,yogita,reception,Support,high
SJE Plus,gold weight add in invoice entry ,krishna,reception,Report,V.Urgent
SJE Plus,software close,sarika,reception,Support,high
Smart Jewel,jewelry stock calculation issue,sarika,reception,Support,high
SJE Plus,excel export issue,krishna,reception,Support,high
SJE Plus,diamond stock issue,jaytur,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,high
Smart Jewel,in demo company category add,yogita,reception,Support,high
SJE Plus,out of memory error,prakash,reception,Support,high
Smart Jewel,node installation,yogita,reception,Support,high
SJE Plus,bag movement issue and product quantity issue ,Sajeda,reception,Support,high
SJE Plus,Given Latest Update And Dotnet,sarika,sarika,New Req,V.Urgent
SJE Plus,quotation report rate chart issue,Sajeda,reception,Support,high
SJE Plus,style master order no. issue,yogita,reception,Support,high
SJE Plus,purchase order error,jaytur,reception,Support,high
SJE Plus,out of memory error,yogita,reception,Support,high
SJE Plus,bill format change and quotation format change issue,drashti,reception,Report,high
SJE Plus,bag transection report stone making charges add issue and party amount issue,Sajeda,reception,Support,high
Smart Jewel,alloy stock add issue ,shubham,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,high
SJE Plus,repairing bag generate issue,sarika,reception,Support,high
SJE Plus,details not show in in packing list issue,Heta,reception,Report,high
Smart Jewel,node installation,yogita,reception,Support,V.Urgent
SJE Plus,purchase order in Gold Qty in print report issue,yogita,reception,Report,high
SJE Plus,job generate method not found,ashit,reception,Support,high
SJE Plus,order problem,sarika,reception,Support,high
SJE Plus,ledger with stock issue and labor making formula change,krishna,reception,Support,high
SJE Plus,quotation report image issue,Heta,reception,Report,high
SJE Plus,print set up,Heta,reception,Report,high
SJE Plus,quotation report diamond rate total issue ,Jagruti,reception,Report,high
SJE Plus,bag delete issue,shubham,reception,Support,high
SJE Plus,customer sms add,Sajeda,reception,Support,high
SJE Plus,WIP image issue,krishna,reception,Support,high
SJE Plus,date issue,Sajeda,reception,Support,high
SJE Plus,tag print issue,Heta,reception,Report,V.Urgent
Smart Jewel,bag report print issue,Heta,reception,Report,high
SJE Plus,entry error issue,krishna,reception,Support,high
SJE Plus,in sale return payment option needed and brand from finalize not come to branch transfer,krishna,reception,Support,high
SJE Plus,tag print issue,Jagruti,reception,Report,high
SJE Plus,invoice no not show in remark issue,jaytur,reception,Support,high
SJE Plus,Copy Order Colour Issue,sarika,sarika,New Req,V.Urgent
SJE Plus,pure weight issue in print,drashti,reception,Report,high
SJE Plus,ledger with stock issue,sarika,reception,Support,high
SJE Plus,Copy order color green issue,drashti,drashti,Support,high
SJE Plus,jewelry sale silicone and Meena column weight add,shubham,reception,Report,high
Smart Jewel,gross weight issue in print,Heta,reception,Report,V.Urgent
SJE Plus,metal return entry issue,sarika,reception,Support,high
Smart Jewel,packing  list issue in print,drashti,reception,Report,high
SJE Plus,item add issue,Sajeda,reception,Support,high
SJE Plus,sale return tax invoice add,Sajeda,reception,Report,high
SJE Plus,"ask about dashboard, payment receive issue and material purchase urd add",krishna,reception,Support,high
SJE Plus,ask about client metal return entry,Sajeda,reception,Support,high
SJE Plus,tax invoice amount issue in print,Krupa,reception,Report,high
SJE Plus,sew size add diamond weight issue,shubham,reception,Support,high
Smart Jewel,software close,krishna,reception,Support,V.Urgent
SJE Plus,print option add,Krupa,reception,Report,high
Smart Jewel,bill print format issue,Jagruti,reception,Report,V.Urgent
SJE Plus,ask about inward entry,sarika,reception,Support,high
SJE Plus,Style Master export SJEPLUS to Import ERP,sarika,sarika,New Req,V.Urgent
SJE Plus,leger gold add issue ,jaytur,reception,Support,high
SJE Plus,loose diamond return option issue,sarika,reception,Support,high
SJE Plus,new book create,Sajeda,reception,Support,high
SJE Plus,branch remove issue,Heta,reception,Report,high
SJE Plus,labor formula change issue,drashti,reception,Support,high
Smart Jewel,bag material report issue ,shubham,reception,Support,high
SJE Plus,debit note issue,drashti,reception,Report,high
Smart Jewel,software sharing ,Sajeda,reception,Support,high
SJE Plus,book save error,yogita,reception,Support,high
SJE Plus,installation of Framework 4.8 along with new vesion of sjeplus at all branches,sarika,reception,Support,high
Smart Jewel,handling charge issue,krishna,reception,Support,high
SJE Plus,quotation report pdf issue,Heta,reception,Report,V.Urgent
Smart Jewel,excel inward issue,Sajeda,reception,Support,high
SJE Plus,branch receive issue,krishna,reception,bug,high
SJE Plus,stone entry issue,prakash,reception,Support,high
SJE Plus,material transfer entry issue,vipul,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,V.Urgent
SJE Plus,in wip report bagging date issue,krishna,reception,Support,high
SJE Plus,jewelry purchase production wise report issue,Sajeda,reception,Support,high
SJE Plus,node installation,krishna,reception,Support,high
SJE Plus,gold diamond weight issue,shubham,reception,Support,high
SJE Plus,quotation print issue,drashti,reception,Report,high
SJE Plus,as about sales report issue,Sajeda,reception,Support,high
SJE Plus,add item issue,yogita,reception,Support,high
SJE Plus,bag fg igi issue ,Sajeda,reception,Support,high
SJE Plus,customer order excel import issue,sarika,reception,Support,high
Smart Jewel,sample line bag generate issue,sarika,reception,Support,high
Smart Jewel,sample line tag issue and sale bill changes,Heta,reception,Report,high
SJE Plus,node installion,sarika,reception,Support,V.Urgent
SJE Plus,job work merger issue in  print,drashti,reception,Report,high
SJE Plus,WIP Issue ,sarika,sarika,bug,V.Urgent
SJE Plus,order form issue in print,Jagruti,reception,Report,high
SJE Plus,opening issue,Sajeda,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,high
Smart Jewel,sticker bag error,krishna,reception,Support,high
Smart Jewel,log in issue,vipul,reception,Support,V.Urgent
Smart Jewel,gross weight issue,gaurav,reception,Support,high
SJE Plus,customer order bag save issue and date print issue,drashti,reception,Report,high
Smart Jewel,server change ,yogita,reception,Support,V.Urgent
Smart Jewel,tag print issue,Jagruti,reception,Report,high
SJE Plus,igi charge issue and approval weight add issue,sarika,reception,Support,high
SJE Plus,book error and balance sheet issue,Heta,reception,Support,high
SJE Plus,memory issue in software,Sajeda,reception,Support,V.Urgent
SJE Plus,refinery entry level issue,vipul,reception,Support,high
SJE Plus,item report excel export issue,Krupa,reception,Support,high
SJE Plus, installing ,Heta,reception,Support,V.Urgent
SJE Plus,bag print issue,shubham,reception,Report,high
Smart Jewel,invoice pdf issue,Heta,reception,Report,high
SJE Plus,invoice modify issue ,drashti,reception,Report,high
Smart Jewel,stock return issue,ashit,reception,Support,high
Smart Jewel,bag production entry issue,jaytur,reception,Support,high
SJE Plus,network error ,yogita,reception,Support,high
SJE Plus,print preview issue,Krupa,reception,Report,high
Smart Jewel,back up restore and quotation file pdf issue,Jagruti,reception,Report,high
SJE Plus,take back up,yogita,reception,Support,high
SJE Plus,invoice print issue,drashti,reception,Report,high
SJE Plus,inward importer issue,Sajeda,reception,Support,high
SJE Plus,last year entry edit issue,Jagruti,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,high
SJE Plus,manufacturing import ,ashit,reception,Support,high
SJE Plus,batch no. add ,jaytur,reception,Support,high
SJE Plus,casting weight style master issue,krishna,reception,Support,high
SJE Plus,bag transaction print format make,Heta,reception,Report,high
SJE Plus,branch transfer issue,vipul,reception,Support,high
SJE Plus,software close,Janvi,reception,Support,high
SJE Plus,invoice mg mj excel sheet ,drashti,reception,Report,high
SJE Plus,branch issue and piece transfer,Sajeda,reception,Support,high
SJE Plus,jewelry merge issue,sarika,reception,Support,high
SJE Plus,purchase entry level issue,Sajeda,reception,Support,high
Smart Jewel,in invoice tax issue,Jagruti,reception,Report,high
Smart Jewel,sales invoice report issue,drashti,reception,Report,high
SJE Plus,bag finalize error and data import ,krishna,reception,Support,high
SJE Plus,manufacturing save error(as per whats app group),shubham,reception,Support,high
SJE Plus,tag print issue,ashit,reception,Report,V.Urgent
Smart Jewel,material entry delete issue,Sajeda,reception,Support,high
SJE Plus,bag movement munefeture change issue Print Issue,drashti,reception,Report,high
SJE Plus,diamond settlement entry issue,krishna,reception,Support,high
SJE Plus,diamond entry issue,Heta,reception,Support,high
SJE Plus,printing format modification,Jagruti,reception,Report,high
SJE Plus,client wise due report settlement issue,sarika,reception,Support,high
SJE Plus,software update ,yogita,reception,Support,V.Urgent
SJE Plus,order casting color issue,ashit,reception,Support,high
SJE Plus,tag print issue,Heta,reception,Report,high
SJE Plus,bag status report issue,shubham,reception,Support,high
SJE Plus,order quotation mm size add in excel print,drashti,reception,Report,high
SJE Plus,karigar item receive issue,vipul,reception,Support,high
SJE Plus,order trainning issue,Sajeda,reception,Support,high
Smart Jewel,stone size issue in style master issue,krishna,reception,Support,high
SJE Plus,tag print issue,Heta,reception,Report,high
SJE Plus,installation,yogita,reception,Support,V.Urgent
SJE Plus,tag net weight issue,Heta,reception,Report,high
SJE Plus,.net frame install,yogita,reception,Support,high
Smart Jewel,quotation print issue,Jagruti,reception,Report,V.Urgent
SJE Plus,How to replace item and rate add in quo.,drashti,drashti,Support,high
SJE Plus,ledger print issue,Heta,reception,Report,high
Smart Jewel,job work inward issue,krishna,reception,Support,high
SJE Plus,inward add,Sajeda,reception,Support,high
SJE Plus,balance sheet issue,jaytur,reception,Support,high
Smart Jewel,scanner issue,vipul,reception,Support,high
SJE Plus,month wise report attach issue,drashti,reception,Report,high
SJE Plus,extra stock delete issue,Sajeda,reception,Support,high
SJE Plus,style master excel issue,jaytur,reception,Support,high
SJE Plus,in report prepaid by add,Heta,reception,Report,high
SJE Plus,in report serial no.issue,drashti,reception,Report,high
SJE Plus,product Flore assess issue and account book issue,Sajeda,reception,Support,high
SJE Plus,repairing bag issue,shubham,reception,Support,high
SJE Plus,tag print issue,Jagruti,reception,Report,high
SJE Plus,gold finding book delete issue,Sajeda,reception,Support,high
Smart Jewel,wip report path change,Heta,reception,Support,high
SJE Plus,invoice bar code issue in print,yogita,reception,Report,high
SJE Plus,order no select issue,krishna,reception,Support,high
SJE Plus,print out issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,diamond format entry issue,Sajeda,reception,Support,high
SJE Plus,export packing issue ,drashti,reception,Report,high
SJE Plus,account leger with stock issue,gaurav,reception,Support,high
SJE Plus,copy order color not show issue in print and sales bill quotation summary issue in report due report issue,drashti,reception,Report,high
SJE Plus,invoice layout change,Heta,reception,Report,high
SJE Plus,in report weight issue,Jagruti,reception,Report,high
SJE Plus,purchase return rate issue in print ,Heta,reception,Report,high
SJE Plus,report issue and print error,drashti,reception,Report,high
Smart Jewel,party lager client details issue,Sajeda,reception,Support,high
Smart Jewel,gold rate issue ,vipul,reception,Support,high
SJE Plus,branch transfer issue,sarika,reception,Support,high
SJE Plus,quotation order job work issue,shubham,reception,Support,high
Smart Jewel,style master upload issue,sarika,reception,Support,high
SJE Plus,New report make,drashti,drashti,Report,high
Smart Jewel,bag print design no. issue,Jagruti,reception,Report,high
SJE Plus,tax invoices change issue in print,Heta,reception,Report,high
SJE Plus,in invoice logo change,Jagruti,reception,Report,high
SJE Plus,multiple item quotation book make,krishna,reception,Support,high
Smart Jewel,tag set in print issue,drashti,reception,Report,high
SJE Plus,repair entry issue,sarika,reception,Support,high
SJE Plus,offline branch issue,ashit,reception,Support,high
Smart Jewel,bag cancel issue,Sajeda,reception,Support,high
SJE Plus,bag marge issue in print,drashti,reception,Support,high
SJE Plus,color stone bill edit issue print issue,yogita,reception,Report,high
SJE Plus,tag bar code issue in print,Jagruti,reception,Report,high
SJE Plus,style master issue,vipul,reception,Support,high
SJE Plus,software close,Heta,reception,Support,high
SJE Plus,file store issue,sarika,reception,Support,high
SJE Plus,memo pieces issue,sarika,reception,Support,high
SJE Plus,bill worker net weight  issue in print ,yogita,reception,Report,high
SJE Plus,party gold entry level issue,krishna,reception,Support,high
SJE Plus,new order book report bind issue,drashti,reception,Report,high
SJE Plus,style master import issue,vipul,reception,Support,high
Smart Jewel,stock - issue in sales report,yogita,reception,Support,high
SJE Plus,material - issue and bag generate issue,Sajeda,reception,Support,high
SJE Plus,tolerance issue  and wip report issue,krishna,reception,Support,high
SJE Plus,in bill amount print issue,Heta,reception,Report,high
SJE Plus,material requirement report,krishna,reception,Support,high
SJE Plus,client wise quality assign ,krishna,reception,Support,high
Smart Jewel,installation,Janvi,reception,Support,V.Urgent
SJE Plus,addles issue,krishna,reception,Support,high
SJE Plus,Repaire voucher New report create ,drashti,drashti,Report,V.Urgent
Smart Jewel,Direct Call,drashti,drashti,Report,high
SJE Plus,Carat Glow Direct Call,drashti,drashti,Report,high
SJE Plus,purchase order print issue,Heta,reception,Report,high
Smart Jewel,report changes issue,Heta,reception,Report,high
SJE Plus,extra metal report,Sajeda,reception,Support,high
SJE Plus,discount issue,krishna,reception,Support,high
SJE Plus,software close ,krishna,reception,Support,V.Urgent
SJE Plus,sales bill changes in print issue,Jagruti,reception,Report,high
SJE Plus,sales bill entry issue,drashti,reception,Report,high
SJE Plus,purchase entry issue and verification cancel issue ,krishna,reception,Support,high
SJE Plus,amount settlement issue and transection date issue in bank voucher,jaytur,reception,Support,high
SJE Plus,stock issue and account master issue,krishna,reception,Support,high
SJE Plus,tag data wrong,sarika,reception,Report,high
SJE Plus,tag rate update excel import issue,krishna,reception,Support,high
SJE Plus,value addition print preview number cut issue,drashti,reception,Report,high
SJE Plus,sale entry rs issue,shubham,reception,Support,high
SJE Plus,joyalukas format required,drashti,reception,Report,high
SJE Plus,mrp not show in new order issue,Sajeda,reception,Support,high
SJE Plus,ageing report issue,Sajeda,reception,Support,high
SJE Plus,in report special remarks add,Heta,reception,Report,high
SJE Plus,stamping department difference,sarika,reception,Support,high
Smart Jewel,ask about order color code change issue,jaytur,reception,Support,high
Smart Jewel,image copy report  issue,vipul,reception,Support,high
Smart Jewel,tag issue and invoice issue,Heta,reception,Report,high
Smart Jewel,node installation,Heta,reception,Support,high
SJE Plus,gst sale bill new layout,Jagruti,reception,Report,high
SJE Plus,stock on hand reconciliation issue,vipul,reception,Support,high
SJE Plus,Extera metal issue or other Query,shubham,shubham,Support,V.Urgent
Smart Jewel,image issue,shubham,reception,Support,high
Smart Jewel,excel inward issue,krishna,reception,Support,high
Smart Jewel,packing list print issue,Jagruti,reception,Report,high
SJE Plus,sales invoice other charges add issue,drashti,reception,Report,high
SJE Plus,issue voucher print issue,Heta,reception,Report,high
SJE Plus,"bag movement report in color stone requirement, client master other category add",krishna,reception,Support,high
SJE Plus,ready stock image report issue,Heta,reception,Report,high
SJE Plus,add edit and delete option not show,ashit,reception,Support,high
SJE Plus,ledger with stock edit issue,Sajeda,reception,Support,high
SJE Plus,tag symbol print issue,Heta,reception,Report,high
SJE Plus,stock issue and style master pieces add,vipul,reception,Support,high
SJE Plus,purchase order metal issue,Sajeda,reception,Support,high
SJE Plus,order image issue,sarika,reception,Support,high
SJE Plus,manufacturing net weight issue,prakash,reception,Support,high
SJE Plus,costing sheet diamond size issue,drashti,reception,Report,high
SJE Plus,ghat out issue,sarika,reception,Support,high
SJE Plus,crm tablet log in issue,jaytur,reception,Support,high
SJE Plus,quotation rate symbol button issue,krishna,reception,Support,high
Smart Jewel,metal bag cancel issue,krishna,reception,Support,high
SJE Plus,ask about erp,sarika,reception,Support,high
SJE Plus,repair bag generate report issue,drashti,reception,Report,high
SJE Plus,invoice gold weight and Grose Wight issue,Heta,reception,Report,high
SJE Plus,diamond quotation details not show,drashti,reception,Report,high
SJE Plus,back up issue,sarika,reception,Support,high
SJE Plus,tag size issue,Heta,reception,Report,high
SJE Plus,data sync issue,shubham,reception,Support,high
SJE Plus,2 pc software uninstall,ashit,reception,Support,high
SJE Plus,conjunction error,Sajeda,reception,Support,high
SJE Plus,caret line issue,Heta,reception,Report,high
SJE Plus,log in issue,Jagruti,reception,Support,V.Urgent
SJE Plus,opening balance changes,sarika,reception,Support,high
SJE Plus,stock change issue,Sajeda,reception,Support,high
SJE Plus,software update,Sajeda,reception,Support,high
SJE Plus,estimate quotation total issue,Jagruti,reception,Report,high
SJE Plus,discount process issue,krishna,reception,Support,high
SJE Plus,bill excel export issue,Jagruti,reception,Report,high
SJE Plus,acknowledgment save issue,sarika,reception,Support,high
SJE Plus,item marge issue,Sajeda,reception,Support,high
SJE Plus,back up issue,Jagruti,reception,Support,high
SJE Plus,tag print issue,drashti,reception,Report,high
SJE Plus,invoice image issue,drashti,reception,Report,high
SJE Plus,packing list total issue in print,Krupa,reception,Report,high
SJE Plus,wip preview parameter not set,sarika,reception,Support,high
SJE Plus,purchase sales return 2019/20 issue and tag change issue,krishna,reception,Support,high
SJE Plus,cash entry not show in lager and client master address issue,shubham,reception,Support,high
SJE Plus,in report discount issue,Heta,reception,Report,high
SJE Plus,diamond stock issue,sarika,reception,Support,high
SJE Plus,setting loss entry settle issue,shubham,reception,Support,high
SJE Plus,diamond rate issue,ashit,reception,Support,high
SJE Plus,software update,Janvi,reception,Support,high
SJE Plus,server pc installation,Heta,reception,Support,V.Urgent
SJE Plus,software close,Jagruti,reception,Support,high
SJE Plus,node installation,reception,reception,Support,V.Urgent
SJE Plus,new book create issue,drashti,reception,Support,high
SJE Plus,custom face entry settle issue,Sajeda,reception,Support,high
SJE Plus,jb gst book gst not count issue,krishna,reception,Support,high
SJE Plus,repair  jewelry receive issue,Ritesh,reception,Support,high
SJE Plus,kacha bill issue,krishna,reception,Support,high
Smart Jewel,packing list pdf issue,Jagruti,reception,Report,high
SJE Plus,broken entry level issue,krishna,reception,Support,high
SJE Plus,tag details convert in to excel ,ashit,reception,Support,high
SJE Plus,repair report issue,sarika,reception,Support,high
SJE Plus,sales return packing list not print,drashti,reception,Report,high
SJE Plus,software close,gaurav,reception,Support,high
SJE Plus,purchase entry issue,sarika,reception,Support,high
SJE Plus,issue to manufacturing report ,Sajeda,reception,Support,high
SJE Plus,broken out issue,prakash,reception,Support,high
SJE Plus,software close,Sajeda,reception,Support,V.Urgent
Smart Jewel,image path set,Heta,reception,Support,high
SJE Plus,wastage add issue and repair issue,sarika,reception,Support,high
SJE Plus,cost sheet image issue,shubham,reception,Report,high
Smart Jewel,new code issue and padding order convert issue,shubham,reception,Support,high
SJE Plus,software update,reception,reception,Support,high
SJE Plus,sales order po no.add,sarika,reception,Support,high
Smart Jewel,software slow,Sajeda,reception,Support,high
SJE Plus,recovery option issue,shubham,reception,Support,high
SJE Plus,invoice print change issue,Jagruti,reception,Report,high
SJE Plus,branch file import issue,ashit,reception,Support,high
SJE Plus,packing list party name print issue,drashti,reception,Report,high
SJE Plus,material sale print create,Heta,reception,Report,high
SJE Plus,diamond purchase remark not show in print,drashti,reception,Report,V.Urgent
SJE Plus,casting - issue,shubham,reception,Support,high
SJE Plus,color ton update issue,prakash,reception,Support,high
Smart Jewel,item wise metal report issue and item finalize gold add entry issue,gaurav,reception,Support,high
SJE Plus,repairing entry level issue,ashit,reception,Support,high
SJE Plus,party lager amount change issue,ashit,reception,Support,high
SJE Plus,account related issue,jaytur,reception,Support,high
SJE Plus,bag status report details,Heta,reception,Support,high
Smart Jewel,server change,Heta,reception,Support,high
SJE Plus,master bag wip report party name not show ,jaytur,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
SJE Plus,sms set,Heta,reception,Support,high
SJE Plus,bag print issue,drashti,reception,Report,high
SJE Plus,order date type issue,drashti,reception,Support,high
SJE Plus,bag issue,vipul,reception,Support,high
SJE Plus,style balance add issue,krishna,reception,Support,high
SJE Plus,direct inward issue,sarika,reception,Support,high
SJE Plus,mrp issue,ashit,reception,Support,high
SJE Plus,mounting receive entry gold rate issue,jaytur,reception,Support,high
SJE Plus,today date rate tag price issue and item po no. issue,krishna,reception,Support,high
SJE Plus,style master excel upload issue,Sajeda,reception,Support,high
SJE Plus,recovery data restore issue,Jagruti,reception,Support,high
SJE Plus,material stock as on  issue,sarika,reception,Support,high
SJE Plus,order merge issue,vipul,reception,Support,high
SJE Plus,casement  report calculation wrong,Jagruti,reception,Report,high
Smart Jewel,branch transfer issue,Sajeda,reception,Support,high
SJE Plus,tax invoice gst not add in print,Heta,reception,Report,V.Urgent
SJE Plus,rate chart inward issue,krishna,reception,Support,high
SJE Plus,image not show in tag print,Heta,reception,Report,high
SJE Plus,packling list preview issue,drashti,reception,Report,high
Smart Jewel,print issue,Jagruti,reception,Report,high
SJE Plus,payment voucher debit issue,Heta,reception,Report,high
SJE Plus,slide show report how to show,drashti,reception,Report,high
SJE Plus,bag format sat,drashti,reception,Report,high
SJE Plus,make a new purchase report ,Heta,reception,Report,high
Smart Jewel,diamond stock loose issue,vipul,reception,Support,high
SJE Plus,WIP gross weight issue,krishna,reception,Support,high
SJE Plus,purchase order issue,drashti,reception,Report,high
SJE Plus,in report size add and sales report igst not show in print,yogita,reception,Report,high
SJE Plus,in report description add,drashti,reception,Report,high
SJE Plus,item not show in jewelry wise inward issue,sarika,reception,Support,high
SJE Plus,software close,Heta,reception,Support,high
Smart Jewel,invoice changes in bill print issue,Jagruti,reception,Report,high
SJE Plus,Bag print barcode not scan,drashti,drashti,Report,high
SJE Plus,ask about discount,krishna,reception,Support,high
Smart Jewel,installation,yogita,reception,Support,high
Smart Jewel,make a new report ,Jagruti,reception,Report,high
SJE Plus,igi report changes,drashti,reception,Report,high
SJE Plus,approval memo error,prakash,reception,Support,high
SJE Plus,stock issue,shubham,reception,Support,high
SJE Plus,last yrs bill not open issue,Heta,reception,Report,high
SJE Plus,jewels code tag no issue,gaurav,reception,Support,high
SJE Plus,invoice aliment change issue and user rights issue,Jagruti,reception,Report,high
SJE Plus,material stock as on issue,prakash,reception,Support,high
SJE Plus,ledger with stock issue,jaytur,reception,Support,high
SJE Plus,ledger with stock issue,vipul,reception,Support,high
SJE Plus,server pc installation,Jagruti,reception,Support,V.Urgent
SJE Plus,tag print issue,drashti,reception,Report,high
SJE Plus,material stock details issue receive and order report issue,krishna,reception,Support,high
SJE Plus,server pc update ,yogita,reception,Support,V.Urgent
SJE Plus,tag print issue,prakash,reception,Report,high
SJE Plus,metal gold sliver issue,shubham,reception,Support,high
SJE Plus,inward issue,shubham,reception,Support,high
SJE Plus,user right issue,prakash,reception,Support,high
SJE Plus,WIP manufacturing issue,prakash,reception,Support,high
SJE Plus,in report party name issue,drashti,reception,Report,high
Smart Jewel,style master image network path issue,Sajeda,reception,Support,high
SJE Plus,software error,krishna,reception,Support,high
Smart Jewel,software close ,yogita,reception,Support,V.Urgent
SJE Plus,new tag making issue,Heta,reception,Report,high
SJE Plus,party order bill entry how to do ,shubham,reception,Support,high
SJE Plus,pass word reset,yogita,reception,Support,high
SJE Plus,metal quality formula change in master,Sajeda,reception,Support,V.Urgent
SJE Plus,server log in issue,yogita,reception,Support,V.Urgent
SJE Plus,gold waste set issue,sarika,reception,Support,high
SJE Plus,report issue ,Krupa,reception,Report,high
SJE Plus,Stamping Diamond Issue As Per Given Ritesh Sir,sarika,sarika,New Req,V.Urgent
SJE Plus,style master remark not show in print,drashti,reception,Report,high
SJE Plus,invoice and value addition issue in print,Heta,reception,Report,high
SJE Plus,recovery issue,shubham,reception,Support,high
SJE Plus,software close in server pc,Jagruti,reception,Support,V.Urgent
SJE Plus,report issue and make a new tag issue,drashti,reception,Report,high
SJE Plus,finding metal issue entry how to do,sarika,reception,Support,high
Smart Jewel,derive name change issue,Heta,reception,Support,V.Urgent
SJE Plus,order column add in p sheet and loss pick up default in cost sheet,drashti,reception,Report,high
SJE Plus,log issue,krishna,reception,Support,V.Urgent
SJE Plus,gems stone price issue,krishna,reception,Support,high
Smart Jewel,diamond entry delete issue,gaurav,reception,Support,high
