project,desc,category,priority,assign to
Smart Jewel,loss issue,Support,high,ashit
SJE Plus,bag transection entry order rate not show and stock - issue,Support,high,krishna
SJE Plus,gold receive issue,Support,high,sarika
SJE Plus,software installation,Support,high,drashti
Smart Jewel,path set ,Support,high,yogita
SJE Plus,gold weight add in invoice entry ,Report,Low,krishna
SJE Plus,software close,Support,high,sarika
Smart Jewel,jewelry stock calculation issue,Support,high,sarika
SJE Plus,excel export issue,Support,high,krishna
SJE Plus,diamond stock issue,Support,high,jaytur
Smart Jewel,software close,Support,high,yogita
Smart Jewel,in demo company category add,Support,high,yogita
SJE Plus,out of memory error,Support,high,prakash
Smart Jewel,node installation,Support,high,yogita
SJE Plus,bag movement issue and product quantity issue ,Support,high,Sajeda
SJE Plus,Given Latest Update And Dotnet,New Req,Med,sarika
SJE Plus,quotation report rate chart issue,Support,high,Sajeda
SJE Plus,style master order no. issue,Support,high,yogita
SJE Plus,purchase order error,Support,high,jaytur
SJE Plus,out of memory error,Support,high,yogita
SJE Plus,bill format change and quotation format change issue,Report,Low,drashti
SJE Plus,bag transection report stone making charges add issue and party amount issue,Support,high,Sajeda
Smart Jewel,alloy stock add issue ,Support,high,shubham
SJE Plus,node installation,Support,high,yogita
SJE Plus,repairing bag generate issue,Support,high,sarika
SJE Plus,details not show in in packing list issue,Report,Low,Heta
Smart Jewel,node installation,Support,V.Urgent,yogita
SJE Plus,purchase order in Gold Qty in print report issue,Report,Low,yogita
SJE Plus,job generate method not found,Support,high,ashit
SJE Plus,order problem,Support,high,sarika
SJE Plus,ledger with stock issue and labor making formula change,Support,high,krishna
SJE Plus,quotation report image issue,Report,Low,Heta
SJE Plus,print set up,Report,Low,Heta
SJE Plus,quotation report diamond rate total issue ,Report,Low,Jagruti
SJE Plus,bag delete issue,Support,high,shubham
SJE Plus,customer sms add,Support,high,Sajeda
SJE Plus,WIP image issue,Support,high,krishna
SJE Plus,date issue,Support,high,Sajeda
SJE Plus,tag print issue,Report,Low,Heta
Smart Jewel,bag report print issue,Report,Low,Heta
SJE Plus,entry error issue,Support,high,krishna
SJE Plus,in sale return payment option needed and brand from finalize not come to branch transfer,Support,high,krishna
SJE Plus,tag print issue,Report,Low,Jagruti
SJE Plus,invoice no not show in remark issue,Support,high,jaytur
SJE Plus,Copy Order Colour Issue,New Req,Med,sarika
SJE Plus,pure weight issue in print,Report,Low,drashti
SJE Plus,ledger with stock issue,Support,high,sarika
SJE Plus,Copy order color green issue,Support,high,drashti
SJE Plus,jewelry sale silicone and Meena column weight add,Report,Low,shubham
Smart Jewel,gross weight issue in print,Report,Low,Heta
SJE Plus,metal return entry issue,Support,high,sarika
Smart Jewel,packing  list issue in print,Report,Low,drashti
SJE Plus,item add issue,Support,high,Sajeda
SJE Plus,sale return tax invoice add,Report,Low,Sajeda
SJE Plus,"ask about dashboard, payment receive issue and material purchase urd add",Support,high,krishna
SJE Plus,ask about client metal return entry,Support,high,Sajeda
SJE Plus,tax invoice amount issue in print,Report,Low,Krupa
SJE Plus,sew size add diamond weight issue,Support,high,shubham
Smart Jewel,software close,Support,V.Urgent,krishna
SJE Plus,print option add,Report,Low,Krupa
Smart Jewel,bill print format issue,Report,Low,Jagruti
SJE Plus,ask about inward entry,Support,high,sarika
SJE Plus,Style Master export SJEPLUS to Import ERP,New Req,Med,sarika
SJE Plus,leger gold add issue ,Support,high,jaytur
SJE Plus,loose diamond return option issue,Support,high,sarika
SJE Plus,new book create,Support,high,Sajeda
SJE Plus,branch remove issue,Report,Low,Heta
SJE Plus,labor formula change issue,Support,high,drashti
Smart Jewel,bag material report issue ,Support,high,shubham
SJE Plus,debit note issue,Report,Low,drashti
Smart Jewel,software sharing ,Support,high,Sajeda
SJE Plus,book save error,Support,high,yogita
SJE Plus,installation of Framework 4.8 along with new vesion of sjeplus at all branches,Support,high,sarika
Smart Jewel,handling charge issue,Support,high,krishna
SJE Plus,quotation report pdf issue,Report,Low,Heta
Smart Jewel,excel inward issue,Support,high,Sajeda
SJE Plus,branch receive issue,bug,high,krishna
SJE Plus,stone entry issue,Support,high,prakash
SJE Plus,material transfer entry issue,Support,high,vipul
SJE Plus,node installation,Support,V.Urgent,yogita
SJE Plus,in wip report bagging date issue,Support,high,krishna
SJE Plus,jewelry purchase production wise report issue,Support,high,Sajeda
SJE Plus,node installation,Support,high,krishna
SJE Plus,gold diamond weight issue,Support,high,shubham
SJE Plus,quotation print issue,Report,Low,drashti
SJE Plus,as about sales report issue,Support,high,Sajeda
SJE Plus,add item issue,Support,high,yogita
SJE Plus,bag fg igi issue ,Support,high,Sajeda
SJE Plus,customer order excel import issue,Support,high,sarika
Smart Jewel,sample line bag generate issue,Support,high,sarika
Smart Jewel,sample line tag issue and sale bill changes,Report,Low,Heta
SJE Plus,node installion,Support,V.Urgent,sarika
SJE Plus,job work merger issue in  print,Report,Low,drashti
SJE Plus,WIP Issue ,bug,V.Urgent,sarika
SJE Plus,order form issue in print,Report,Low,Jagruti
SJE Plus,opening issue,Support,high,Sajeda
SJE Plus,node installation,Support,high,yogita
Smart Jewel,sticker bag error,Support,high,krishna
Smart Jewel,log in issue,Support,V.Urgent,vipul
Smart Jewel,gross weight issue,Support,high,gaurav
SJE Plus,customer order bag save issue and date print issue,Report,Low,drashti
Smart Jewel,server change ,Support,V.Urgent,yogita
Smart Jewel,tag print issue,Report,Low,Jagruti
SJE Plus,igi charge issue and approval weight add issue,Support,high,sarika
SJE Plus,book error and balance sheet issue,Support,high,Heta
SJE Plus,memory issue in software,Support,V.Urgent,Sajeda
SJE Plus,refinery entry level issue,Support,high,vipul
SJE Plus,item report excel export issue,Support,high,Krupa
SJE Plus, installing ,Support,V.Urgent,Heta
SJE Plus,bag print issue,Report,Low,shubham
Smart Jewel,invoice pdf issue,Report,Low,Heta
SJE Plus,invoice modify issue ,Report,Low,drashti
Smart Jewel,stock return issue,Support,high,ashit
Smart Jewel,bag production entry issue,Support,high,jaytur
SJE Plus,network error ,Support,high,yogita
SJE Plus,print preview issue,Report,Low,Krupa
Smart Jewel,back up restore and quotation file pdf issue,Report,Low,Jagruti
SJE Plus,take back up,Support,high,yogita
SJE Plus,invoice print issue,Report,Low,drashti
SJE Plus,inward importer issue,Support,high,Sajeda
SJE Plus,last year entry edit issue,Support,high,Jagruti
Smart Jewel,software close,Support,high,yogita
SJE Plus,manufacturing import ,Support,high,ashit
SJE Plus,batch no. add ,Support,high,jaytur
SJE Plus,casting weight style master issue,Support,high,krishna
SJE Plus,bag transaction print format make,Report,Low,Heta
SJE Plus,branch transfer issue,Support,high,vipul
SJE Plus,software close,Support,high,Janvi
SJE Plus,invoice mg mj excel sheet ,Report,Low,drashti
SJE Plus,branch issue and piece transfer,Support,high,Sajeda
SJE Plus,jewelry merge issue,Support,high,sarika
SJE Plus,purchase entry level issue,Support,high,Sajeda
Smart Jewel,in invoice tax issue,Report,Low,Jagruti
Smart Jewel,sales invoice report issue,Report,Low,drashti
SJE Plus,bag finalize error and data import ,Support,high,krishna
SJE Plus,manufacturing save error(as per whats app group),Support,high,shubham
SJE Plus,tag print issue,Report,Low,ashit
Smart Jewel,material entry delete issue,Support,high,Sajeda
SJE Plus,bag movement munefeture change issue Print Issue,Report,Low,drashti
SJE Plus,diamond settlement entry issue,Support,high,krishna
SJE Plus,diamond entry issue,Support,high,Heta
SJE Plus,printing format modification,Report,Low,Jagruti
SJE Plus,client wise due report settlement issue,Support,high,sarika
SJE Plus,software update ,Support,V.Urgent,yogita
SJE Plus,order casting color issue,Support,high,ashit
SJE Plus,tag print issue,Report,Low,Heta
SJE Plus,bag status report issue,Support,high,shubham
SJE Plus,order quotation mm size add in excel print,Report,Low,drashti
SJE Plus,karigar item receive issue,Support,high,vipul
SJE Plus,order trainning issue,Support,high,Sajeda
Smart Jewel,stone size issue in style master issue,Support,high,krishna
SJE Plus,tag print issue,Report,Low,Heta
SJE Plus,installation,Support,V.Urgent,yogita
SJE Plus,tag net weight issue,Report,Low,Heta
SJE Plus,.net frame install,Support,high,yogita
Smart Jewel,quotation print issue,Report,Low,Jagruti
SJE Plus,How to replace item and rate add in quo.,Support,high,drashti
SJE Plus,ledger print issue,Report,Low,Heta
Smart Jewel,job work inward issue,Support,high,krishna
SJE Plus,inward add,Support,high,Sajeda
SJE Plus,balance sheet issue,Support,high,jaytur
Smart Jewel,scanner issue,Support,high,vipul
SJE Plus,month wise report attach issue,Report,Low,drashti
SJE Plus,extra stock delete issue,Support,high,Sajeda
SJE Plus,style master excel issue,Support,high,jaytur
SJE Plus,in report prepaid by add,Report,Low,Heta
SJE Plus,in report serial no.issue,Report,Low,drashti
SJE Plus,product Flore assess issue and account book issue,Support,high,Sajeda
SJE Plus,repairing bag issue,Support,high,shubham
SJE Plus,tag print issue,Report,Low,Jagruti
SJE Plus,gold finding book delete issue,Support,high,Sajeda
Smart Jewel,wip report path change,Support,high,Heta
SJE Plus,invoice bar code issue in print,Report,Low,yogita
SJE Plus,order no select issue,Support,high,krishna
SJE Plus,print out issue,Report,Low,Jagruti
Smart Jewel,diamond format entry issue,Support,high,Sajeda
SJE Plus,export packing issue ,Report,Low,drashti
SJE Plus,account leger with stock issue,Support,high,gaurav
SJE Plus,copy order color not show issue in print and sales bill quotation summary issue in report due report issue,Report,Low,drashti
SJE Plus,invoice layout change,Report,Low,Heta
SJE Plus,in report weight issue,Report,Low,Jagruti
SJE Plus,purchase return rate issue in print ,Report,Low,Heta
SJE Plus,report issue and print error,Report,Low,drashti
Smart Jewel,party lager client details issue,Support,high,Sajeda
Smart Jewel,gold rate issue ,Support,high,vipul
SJE Plus,branch transfer issue,Support,high,sarika
SJE Plus,quotation order job work issue,Support,high,shubham
Smart Jewel,style master upload issue,Support,high,sarika
SJE Plus,New report make,Report,Low,drashti
Smart Jewel,bag print design no. issue,Report,Low,Jagruti
SJE Plus,tax invoices change issue in print,Report,Low,Heta
SJE Plus,in invoice logo change,Report,Low,Jagruti
SJE Plus,multiple item quotation book make,Support,high,krishna
Smart Jewel,tag set in print issue,Report,Low,drashti
SJE Plus,repair entry issue,Support,high,sarika
SJE Plus,offline branch issue,Support,high,ashit
Smart Jewel,bag cancel issue,Support,high,Sajeda
SJE Plus,bag marge issue in print,Support,high,drashti
SJE Plus,color stone bill edit issue print issue,Report,Low,yogita
SJE Plus,tag bar code issue in print,Report,Low,Jagruti
SJE Plus,style master issue,Support,high,vipul
SJE Plus,software close,Support,high,Heta
SJE Plus,file store issue,Support,high,sarika
SJE Plus,memo pieces issue,Support,high,sarika
SJE Plus,bill worker net weight  issue in print ,Report,Low,yogita
SJE Plus,party gold entry level issue,Support,high,krishna
SJE Plus,new order book report bind issue,Report,Low,drashti
SJE Plus,style master import issue,Support,high,vipul
Smart Jewel,stock - issue in sales report,Support,high,yogita
SJE Plus,material - issue and bag generate issue,Support,high,Sajeda
SJE Plus,tolerance issue  and wip report issue,Support,high,krishna
SJE Plus,in bill amount print issue,Report,Low,Heta
SJE Plus,material requirement report,Support,high,krishna
SJE Plus,client wise quality assign ,Support,high,krishna
Smart Jewel,installation,Support,V.Urgent,Janvi
SJE Plus,addles issue,Support,high,krishna
SJE Plus,Repaire voucher New report create ,Report,Low,drashti
Smart Jewel,Direct Call,Report,Low,drashti
SJE Plus,Carat Glow Direct Call,Report,Low,drashti
SJE Plus,purchase order print issue,Report,Low,Heta
Smart Jewel,report changes issue,Report,Low,Heta
SJE Plus,extra metal report,Support,high,Sajeda
SJE Plus,discount issue,Support,high,krishna
SJE Plus,software close ,Support,V.Urgent,krishna
SJE Plus,sales bill changes in print issue,Report,Low,Jagruti
SJE Plus,sales bill entry issue,Report,Low,drashti
SJE Plus,purchase entry issue and verification cancel issue ,Support,high,krishna
SJE Plus,amount settlement issue and transection date issue in bank voucher,Support,high,jaytur
SJE Plus,stock issue and account master issue,Support,high,krishna
SJE Plus,tag data wrong,Report,Low,sarika
SJE Plus,tag rate update excel import issue,Support,high,krishna
SJE Plus,value addition print preview number cut issue,Report,Low,drashti
SJE Plus,sale entry rs issue,Support,high,shubham
SJE Plus,joyalukas format required,Report,Low,drashti
SJE Plus,mrp not show in new order issue,Support,high,Sajeda
SJE Plus,ageing report issue,Support,high,Sajeda
SJE Plus,in report special remarks add,Report,Low,Heta
SJE Plus,stamping department difference,Support,high,sarika
Smart Jewel,ask about order color code change issue,Support,high,jaytur
Smart Jewel,image copy report  issue,Support,high,vipul
Smart Jewel,tag issue and invoice issue,Report,Low,Heta
Smart Jewel,node installation,Support,high,Heta
SJE Plus,gst sale bill new layout,Report,Med,Jagruti
SJE Plus,stock on hand reconciliation issue,Support,high,vipul
SJE Plus,Extera metal issue or other Query,Support,V.Urgent,shubham
Smart Jewel,image issue,Support,high,shubham
Smart Jewel,excel inward issue,Support,high,krishna
Smart Jewel,packing list print issue,Report,Low,Jagruti
SJE Plus,sales invoice other charges add issue,Report,Low,drashti
SJE Plus,issue voucher print issue,Report,Low,Heta
SJE Plus,"bag movement report in color stone requirement, client master other category add",Support,high,krishna
SJE Plus,ready stock image report issue,Report,Low,Heta
SJE Plus,add edit and delete option not show,Support,high,ashit
SJE Plus,ledger with stock edit issue,Support,high,Sajeda
SJE Plus,tag symbol print issue,Report,Low,Heta
SJE Plus,stock issue and style master pieces add,Support,high,vipul
SJE Plus,purchase order metal issue,Support,high,Sajeda
SJE Plus,order image issue,Support,high,sarika
SJE Plus,manufacturing net weight issue,Support,high,prakash
SJE Plus,costing sheet diamond size issue,Report,Low,drashti
SJE Plus,ghat out issue,Support,high,sarika
SJE Plus,crm tablet log in issue,Support,high,jaytur
SJE Plus,quotation rate symbol button issue,Support,high,krishna
Smart Jewel,metal bag cancel issue,Support,high,krishna
SJE Plus,ask about erp,Support,high,sarika
SJE Plus,repair bag generate report issue,Report,Low,drashti
SJE Plus,invoice gold weight and Grose Wight issue,Report,Low,Heta
SJE Plus,diamond quotation details not show,Report,Low,drashti
SJE Plus,back up issue,Support,high,sarika
SJE Plus,tag size issue,Report,Low,Heta
SJE Plus,data sync issue,Support,high,shubham
SJE Plus,2 pc software uninstall,Support,high,ashit
SJE Plus,conjunction error,Support,high,Sajeda
SJE Plus,caret line issue,Report,Low,Heta
SJE Plus,log in issue,Support,V.Urgent,Jagruti
SJE Plus,opening balance changes,Support,high,sarika
SJE Plus,stock change issue,Support,high,Sajeda
SJE Plus,software update,Support,high,Sajeda
SJE Plus,estimate quotation total issue,Report,Low,Jagruti
SJE Plus,discount process issue,Support,high,krishna
SJE Plus,bill excel export issue,Report,Low,Jagruti
SJE Plus,acknowledgment save issue,Support,high,sarika
SJE Plus,item marge issue,Support,high,Sajeda
SJE Plus,back up issue,Support,high,Jagruti
SJE Plus,tag print issue,Report,Low,drashti
SJE Plus,invoice image issue,Report,Low,drashti
SJE Plus,packing list total issue in print,Report,Low,Krupa
SJE Plus,wip preview parameter not set,Support,high,sarika
SJE Plus,purchase sales return 2019/20 issue and tag change issue,Support,high,krishna
SJE Plus,cash entry not show in lager and client master address issue,Support,high,shubham
SJE Plus,in report discount issue,Report,Low,Heta
SJE Plus,diamond stock issue,Support,high,sarika
SJE Plus,setting loss entry settle issue,Support,high,shubham
SJE Plus,diamond rate issue,Support,high,ashit
SJE Plus,software update,Support,high,Janvi
SJE Plus,server pc installation,Support,V.Urgent,Heta
SJE Plus,software close,Support,high,Jagruti
SJE Plus,new book create issue,Support,high,drashti
SJE Plus,custom face entry settle issue,Support,high,Sajeda
SJE Plus,jb gst book gst not count issue,Support,high,krishna
SJE Plus,kacha bill issue,Support,high,krishna
Smart Jewel,packing list pdf issue,Report,Low,Jagruti
SJE Plus,broken entry level issue,Support,high,krishna
SJE Plus,tag details convert in to excel ,Support,high,ashit
SJE Plus,repair report issue,Support,high,sarika
SJE Plus,sales return packing list not print,Report,Low,drashti
SJE Plus,software close,Support,high,gaurav
SJE Plus,purchase entry issue,Support,high,sarika
SJE Plus,issue to manufacturing report ,Support,high,Sajeda
SJE Plus,broken out issue,Support,high,prakash
SJE Plus,software close,Support,V.Urgent,Sajeda
Smart Jewel,image path set,Support,high,Heta
SJE Plus,wastage add issue and repair issue,Support,high,sarika
SJE Plus,cost sheet image issue,Report,Low,shubham
Smart Jewel,new code issue and padding order convert issue,Support,high,shubham
SJE Plus,sales order po no.add,Support,high,sarika
Smart Jewel,software slow,Support,high,Sajeda
SJE Plus,recovery option issue,Support,high,shubham
SJE Plus,invoice print change issue,Report,Low,Jagruti
SJE Plus,branch file import issue,Support,high,ashit
SJE Plus,packing list party name print issue,Report,Low,drashti
SJE Plus,material sale print create,Report,Low,Heta
SJE Plus,diamond purchase remark not show in print,Report,Low,drashti
SJE Plus,casting - issue,Support,high,shubham
SJE Plus,color ton update issue,Support,high,prakash
Smart Jewel,item wise metal report issue and item finalize gold add entry issue,Support,high,gaurav
SJE Plus,repairing entry level issue,Support,high,ashit
SJE Plus,party lager amount change issue,Support,high,ashit
SJE Plus,account related issue,Support,high,jaytur
SJE Plus,bag status report details,Support,high,Heta
Smart Jewel,server change,Support,high,Heta
SJE Plus,master bag wip report party name not show ,Support,high,jaytur
Smart Jewel,software close,Support,V.Urgent,Jagruti
SJE Plus,sms set,Support,high,Heta
SJE Plus,bag print issue,Report,Low,drashti
SJE Plus,order date type issue,Support,high,drashti
SJE Plus,bag issue,Support,high,vipul
SJE Plus,style balance add issue,Support,high,krishna
SJE Plus,direct inward issue,Support,high,sarika
SJE Plus,mrp issue,Support,high,ashit
SJE Plus,mounting receive entry gold rate issue,Support,high,jaytur
SJE Plus,today date rate tag price issue and item po no. issue,Support,high,krishna
SJE Plus,style master excel upload issue,Support,high,Sajeda
SJE Plus,recovery data restore issue,Support,high,Jagruti
SJE Plus,material stock as on  issue,Support,high,sarika
SJE Plus,order merge issue,Support,high,vipul
SJE Plus,casement  report calculation wrong,Report,Low,Jagruti
Smart Jewel,branch transfer issue,Support,high,Sajeda
SJE Plus,tax invoice gst not add in print,Report,Med,Heta
SJE Plus,rate chart inward issue,Support,high,krishna
SJE Plus,image not show in tag print,Report,Low,Heta
SJE Plus,packling list preview issue,Report,Low,drashti
Smart Jewel,print issue,Report,Low,Jagruti
SJE Plus,payment voucher debit issue,Report,Low,Heta
SJE Plus,slide show report how to show,Report,Low,drashti
SJE Plus,bag format sat,Report,Low,drashti
SJE Plus,make a new purchase report ,Report,Low,Heta
Smart Jewel,diamond stock loose issue,Support,high,vipul
SJE Plus,WIP gross weight issue,Support,high,krishna
SJE Plus,purchase order issue,Report,Low,drashti
SJE Plus,in report size add and sales report igst not show in print,Report,Med,yogita
SJE Plus,in report description add,Report,Low,drashti
SJE Plus,item not show in jewelry wise inward issue,Support,high,sarika
SJE Plus,software close,Support,high,Heta
Smart Jewel,invoice changes in bill print issue,Report,Low,Jagruti
SJE Plus,Bag print barcode not scan,Report,Low,drashti
SJE Plus,ask about discount,Support,high,krishna
Smart Jewel,installation,Support,high,yogita
Smart Jewel,make a new report ,Report,Low,Jagruti
SJE Plus,igi report changes,Report,Low,drashti
SJE Plus,approval memo error,Support,high,prakash
SJE Plus,stock issue,Support,high,shubham
SJE Plus,last yrs bill not open issue,Report,Low,Heta
SJE Plus,jewels code tag no issue,Support,high,gaurav
SJE Plus,invoice aliment change issue and user rights issue,Report,Low,Jagruti
SJE Plus,material stock as on issue,Support,high,prakash
SJE Plus,ledger with stock issue,Support,high,jaytur
SJE Plus,ledger with stock issue,Support,high,vipul
SJE Plus,server pc installation,Support,V.Urgent,Jagruti
SJE Plus,tag print issue,Report,Low,drashti
SJE Plus,material stock details issue receive and order report issue,Support,high,krishna
SJE Plus,server pc update ,Support,V.Urgent,yogita
SJE Plus,tag print issue,Report,Low,prakash
SJE Plus,metal gold sliver issue,Support,high,shubham
SJE Plus,inward issue,Support,high,shubham
SJE Plus,user right issue,Support,high,prakash
SJE Plus,WIP manufacturing issue,Support,high,prakash
SJE Plus,in report party name issue,Report,Low,drashti
Smart Jewel,style master image network path issue,Support,high,Sajeda
SJE Plus,software error,Support,high,krishna
Smart Jewel,software close ,Support,V.Urgent,yogita
SJE Plus,new tag making issue,Report,Low,Heta
SJE Plus,party order bill entry how to do ,Support,high,shubham
SJE Plus,pass word reset,Support,high,yogita
SJE Plus,metal quality formula change in master,Support,V.Urgent,Sajeda
SJE Plus,server log in issue,Support,V.Urgent,yogita
SJE Plus,gold waste set issue,Support,high,sarika
SJE Plus,report issue ,Report,Low,Krupa
SJE Plus,Stamping Diamond Issue As Per Given Ritesh Sir,New Req,Med,sarika
SJE Plus,style master remark not show in print,Report,Low,drashti
SJE Plus,invoice and value addition issue in print,Report,Low,Heta
SJE Plus,recovery issue,Support,high,shubham
SJE Plus,software close in server pc,Support,V.Urgent,Jagruti
SJE Plus,report issue and make a new tag issue,Report,Low,drashti
SJE Plus,finding metal issue entry how to do,Support,high,sarika
Smart Jewel,derive name change issue,Support,V.Urgent,Heta
SJE Plus,order column add in p sheet and loss pick up default in cost sheet,Report,Low,drashti
SJE Plus,log issue,Support,V.Urgent,krishna
SJE Plus,gems stone price issue,Support,high,krishna
Smart Jewel,diamond entry delete issue,Support,high,gaurav
SJE Plus,software update,Support,V.Urgent,yogita
SJE Plus,repair bag  print issue,Report,Low,Sajeda
Smart Jewel,diamond memo issue,Report,Low,sarika
SJE Plus,wip report print how to do,Report,Low,yogita
SJE Plus,making charge not accept in karigar receive issue in report,Report,Low,yogita
Smart Jewel,software close,Support,V.Urgent,yogita
SJE Plus,report changes issue,Report,Low,Heta
SJE Plus,order wise report shorting issue and remark not show in pdf print ,Report,Low,Jagruti
SJE Plus,approval issue,Support,high,drashti
SJE Plus,jewels report not convert in pdf ,Support,high,vipul
SJE Plus,new weight and gross weight formula change issue,Support,high,shubham
SJE Plus,software close,Support,V.Urgent,yogita
SJE Plus,installation,Support,V.Urgent,Sajeda
SJE Plus,diamond total issue,Support,high,prakash
SJE Plus,invoice report amount issue in print,Report,Low,drashti
Smart Jewel,invoice details not show in print ,Report,Low,Heta
SJE Plus,quotation order issue in report ,Report,Low,drashti
SJE Plus,stock metal issue,Support,high,sarika
Smart Jewel,diamond approval retune issue,Support,high,sarika
SJE Plus,entry issue,Support,V.Urgent,krishna
SJE Plus,cash entry delete issue,Support,V.Urgent,Heta
SJE Plus,cover invoice hsn code issue,Report,Low,drashti
SJE Plus,software close issue,Support,V.Urgent,yogita
SJE Plus,file import issue,Support,high,krishna
SJE Plus,bag tag code not show in bag generate,Support,high,Sajeda
Smart Jewel,Packing List Data Not Coming,Report,Low,sarika
SJE Plus,transfer file report update issue,Report,Low,Jagruti
SJE Plus,style master image upload issue,Support,high,Sajeda
SJE Plus,stock match with party issue,Support,high,Sajeda
SJE Plus,software issue,Support,V.Urgent,yogita
SJE Plus,image issue and style master change issue,Support,high,sarika
SJE Plus,Stone purchase book cz tik,Support,high,drashti
SJE Plus,tag set issue,Report,Low,Jagruti
SJE Plus,software not start,Support,V.Urgent,drashti
SJE Plus,entry issue,Support,high,prakash
SJE Plus,wax setting entry traing,Support,V.Urgent,ashit
SJE Plus,metal conversion entry issue ,Support,high,sarika
SJE Plus,report changes,Report,Low,Heta
SJE Plus,sales return issue,Support,high,shubham
SJE Plus,node installation,Support,V.Urgent,yogita
Smart Jewel,report changes,Report,Low,Jagruti
SJE Plus,broken entry issue,Support,high,sarika
SJE Plus,loss % issue,Support,high,sarika
Smart Jewel,bill entry issue,Support,high,sarika
SJE Plus,as per whats app query list,Support,high,Sajeda
Smart Jewel,tag price not show in print,Report,Low,drashti
SJE Plus,memo inward issue ,Support,high,krishna
SJE Plus,software close,Support,V.Urgent,yogita
SJE Plus,login issue,Support,V.Urgent,Heta
SJE Plus,bill party diamond extra add in print issue ,Report,Low,Heta
SJE Plus,slid show issue,Support,high,Sajeda
SJE Plus,kundan meena entry issue,Support,high,Sajeda
Smart Jewel,software crash ,Support,V.Urgent,yogita
SJE Plus,diamond group remove issue and purchase return issue,Support,high,Sajeda
SJE Plus,weight chart issue ,Support,high,krishna
SJE Plus,bag print changes,Report,Low,Heta
SJE Plus,bag print order remark issue,Report,Low,drashti
SJE Plus,installation,Support,V.Urgent,yogita
SJE Plus,importer update and software update,Support,high,krishna
Smart Jewel,software update ,Support,high,yogita
SJE Plus,jewelry inward diamond group add issue,Support,high,Sajeda
SJE Plus,memo process image not show,Support,high,krishna
SJE Plus,tcs tax add and report issue,Report,Low,gaurav
SJE Plus,repair order issue,Support,high,krishna
